"artist","danceability","energy","liveness","tempo","loudness","acousticness","speechiness","popularity"
"SUGA",0.72,0.7,0.13,0.65,0.83,0.34,0.07,0.07
"StaySolidRocky",0.73,0.42,0.11,0.57,0.54,0.7,0.09,0.07
"Wolftyla",0.64,0.9,0.16,0.84,0.87,0.02,0.03,0.07
"Dalex",0.73,0.67,0.15,0.83,0.87,0.23,0.21,0.05
"Jaira Burns",0.63,0.78,0.25,0.74,0.87,0.01,0.03,0.05
"KHEA",0.75,0.7,0.17,0.59,0.81,0.45,0.11,0.05
"Curtis Waters",0.88,0.69,0.15,0.31,0.76,0.33,0.05,0.04
"Harm Franklin",0.88,0.69,0.15,0.31,0.76,0.33,0.05,0.04
"Kendo Kaponi",0.81,0.73,0.22,0.49,0.83,0.29,0.25,0.04
"Lexie Liu",0.66,0.79,0.32,0.67,0.87,0,0.01,0.04
"Seraphine",0.66,0.79,0.32,0.67,0.87,0,0.01,0.04
"K/DA",0.65,0.81,0.18,0.73,0.87,0.01,0.03,0.04
"Manuel Turizo",0.76,0.69,0.24,0.45,0.84,0.37,0.06,0.03
"Harry Styles",0.54,0.59,0.16,0.44,0.76,0.27,0.01,0.03
"Fousheé",0.82,0.52,0.12,0.57,0.73,0.72,0.46,0.03
"Luvli",0.73,0.74,0.23,0.48,0.68,0.08,0,0.03
"Piso 21",0.79,0.72,0.1,0.27,0.88,0.28,0.06,0.03
"Fools Garden",0.66,0.48,0.12,0.68,0.61,0.64,0.02,0.01
"J. Davi$",0.89,0.43,0.09,0.38,0.53,0.03,0.16,0.01
"Jhorrmountain",0.9,0.53,0.1,0.31,0.82,0,0.21,0.01
